algoritmo;vertices;arestas;densidade;semente;repeticao;tempo_ms
Johnson;30;60;esparso;42;21;1,510840
Johnson;30;60;esparso;42;22;1,379251
Johnson;30;60;esparso;42;23;1,423188
Johnson;30;60;esparso;42;24;1,517156
Johnson;30;60;esparso;42;25;1,373584
Johnson;30;60;esparso;42;26;1,520324
Johnson;30;60;esparso;42;27;1,513144
Johnson;30;60;esparso;42;28;2,032089
Johnson;30;60;esparso;42;29;1,554788
Johnson;30;60;esparso;42;30;1,443098
Bellman-Ford;30;174;intermediario;43;1;4,807175
Bellman-Ford;30;174;intermediario;43;2;5,029788
Bellman-Ford;30;174;intermediario;43;3;4,741661
Bellman-Ford;30;174;intermediario;43;4;4,986109
Bellman-Ford;30;174;intermediario;43;5;4,978675
Bellman-Ford;30;174;intermediario;43;6;4,826293
Bellman-Ford;30;174;intermediario;43;7;4,701661
Bellman-Ford;30;174;intermediario;43;8;5,012006
Bellman-Ford;30;174;intermediario;43;9;4,914508
Bellman-Ford;30;174;intermediario;43;10;4,761040
Bellman-Ford;30;174;intermediario;43;11;4,904974
Bellman-Ford;30;174;intermediario;43;12;4,730016
Bellman-Ford;30;174;intermediario;43;13;4,368811
Bellman-Ford;30;174;intermediario;43;14;4,408275
Bellman-Ford;30;174;intermediario;43;15;4,659414
Bellman-Ford;30;174;intermediario;43;16;4,426128
Bellman-Ford;30;174;intermediario;43;17;4,309867
Bellman-Ford;30;174;intermediario;43;18;4,421433
Bellman-Ford;30;174;intermediario;43;19;4,366834
Bellman-Ford;30;174;intermediario;43;20;4,379008
Bellman-Ford;30;174;intermediario;43;21;4,203384
Bellman-Ford;30;174;intermediario;43;22;4,134619
Bellman-Ford;30;174;intermediario;43;23;4,620396
Bellman-Ford;30;174;intermediario;43;24;4,340859
Bellman-Ford;30;174;intermediario;43;25;4,901996
Bellman-Ford;30;174;intermediario;43;26;5,099302
Bellman-Ford;30;174;intermediario;43;27;6,017070
Bellman-Ford;30;174;intermediario;43;28;4,938479
Bellman-Ford;30;174;intermediario;43;29;5,100269
Bellman-Ford;30;174;intermediario;43;30;4,908121
Dijkstra;30;174;intermediario;43;1;1,782380
Dijkstra;30;174;intermediario;43;2;2,140639
Dijkstra;30;174;intermediario;43;3;2,447538
Dijkstra;30;174;intermediario;43;4;2,413088
Dijkstra;30;174;intermediario;43;5;2,484748
Dijkstra;30;174;intermediario;43;6;2,040487
Dijkstra;30;174;intermediario;43;7;2,101278
Dijkstra;30;174;intermediario;43;8;2,319077
Dijkstra;30;174;intermediario;43;9;3,352845
Dijkstra;30;174;intermediario;43;10;2,642821
Dijkstra;30;174;intermediario;43;11;1,890435
Dijkstra;30;174;intermediario;43;12;1,858104
Dijkstra;30;174;intermediario;43;13;1,984666
Dijkstra;30;174;intermediario;43;14;1,916526
Dijkstra;30;174;intermediario;43;15;1,849016
Dijkstra;30;174;intermediario;43;16;1,876044
Dijkstra;30;174;intermediario;43;17;2,047398
Dijkstra;30;174;intermediario;43;18;1,880012
Dijkstra;30;174;intermediario;43;19;2,192837
Dijkstra;30;174;intermediario;43;20;2,050558
Dijkstra;30;174;intermediario;43;21;1,839108
Dijkstra;30;174;intermediario;43;22;1,817179
Dijkstra;30;174;intermediario;43;23;1,722763
Dijkstra;30;174;intermediario;43;24;1,923158
Dijkstra;30;174;intermediario;43;25;2,177073
Dijkstra;30;174;intermediario;43;26;2,346267
Dijkstra;30;174;intermediario;43;27;1,836586
Dijkstra;30;174;intermediario;43;28;2,209146
Dijkstra;30;174;intermediario;43;29;2,340520
Dijkstra;30;174;intermediario;43;30;1,852038
Floyd-Warshall;30;174;intermediario;43;1;3,826375
Floyd-Warshall;30;174;intermediario;43;2;4,074432
Floyd-Warshall;30;174;intermediario;43;3;3,803679
Floyd-Warshall;30;174;intermediario;43;4;4,129095
Floyd-Warshall;30;174;intermediario;43;5;3,942386
Floyd-Warshall;30;174;intermediario;43;6;3,901011
Floyd-Warshall;30;174;intermediario;43;7;3,770175
Floyd-Warshall;30;174;intermediario;43;8;6,481926
Floyd-Warshall;30;174;intermediario;43;9;5,472371
Floyd-Warshall;30;174;intermediario;43;10;4,580891
Floyd-Warshall;30;174;intermediario;43;11;4,472665
Floyd-Warshall;30;174;intermediario;43;12;7,012305
Floyd-Warshall;30;174;intermediario;43;13;6,834803
Floyd-Warshall;30;174;intermediario;43;14;5,584140
Floyd-Warshall;30;174;intermediario;43;15;5,839248
Floyd-Warshall;30;174;intermediario;43;16;6,604619
Floyd-Warshall;30;174;intermediario;43;17;6,202271
Floyd-Warshall;30;174;intermediario;43;18;5,418322
Floyd-Warshall;30;174;intermediario;43;19;6,482053
Floyd-Warshall;30;174;intermediario;43;20;5,801522
Floyd-Warshall;30;174;intermediario;43;21;5,282777
Floyd-Warshall;30;174;intermediario;43;22;6,870167
Floyd-Warshall;30;174;intermediario;43;23;4,632601
Floyd-Warshall;30;174;intermediario;43;24;5,192284
Floyd-Warshall;30;174;intermediario;43;25;4,535083
Floyd-Warshall;30;174;intermediario;43;26;4,309248
Floyd-Warshall;30;174;intermediario;43;27;4,682797
Floyd-Warshall;30;174;intermediario;43;28;4,070393
Floyd-Warshall;30;174;intermediario;43;29;4,071728
Floyd-Warshall;30;174;intermediario;43;30;4,261787
Johnson;30;174;intermediario;43;1;3,603979
Johnson;30;174;intermediario;43;2;2,492703
Johnson;30;174;intermediario;43;3;2,024224
Johnson;30;174;intermediario;43;4;2,767459
Johnson;30;174;intermediario;43;5;2,266756
Johnson;30;174;intermediario;43;6;1,884536
Johnson;30;174;intermediario;43;7;2,249326
Johnson;30;174;intermediario;43;8;2,083105
Johnson;30;174;intermediario;43;9;2,247370
Johnson;30;174;intermediario;43;10;2,128496
Johnson;30;174;intermediario;43;11;2,209712
Johnson;30;174;intermediario;43;12;2,692840
Johnson;30;174;intermediario;43;13;2,118153
Johnson;30;174;intermediario;43;14;2,092586
Johnson;30;174;intermediario;43;15;2,223634
Johnson;30;174;intermediario;43;16;2,279826
Johnson;30;174;intermediario;43;17;2,324770
Johnson;30;174;intermediario;43;18;2,134386
Johnson;30;174;intermediario;43;19;2,156615
Johnson;30;174;intermediario;43;20;2,083645
Johnson;30;174;intermediario;43;21;2,105035
Johnson;30;174;intermediario;43;22;2,190792
Johnson;30;174;intermediario;43;23;2,017036
Johnson;30;174;intermediario;43;24;2,150441
Johnson;30;174;intermediario;43;25;2,025339
Johnson;30;174;intermediario;43;26;2,092793
Johnson;30;174;intermediario;43;27;2,185929
Johnson;30;174;intermediario;43;28;2,014372
Johnson;30;174;intermediario;43;29;2,043938
Johnson;30;174;intermediario;43;30;2,189115
Bellman-Ford;30;435;denso;44;1;11,129258
Bellman-Ford;30;435;denso;44;2;11,153437
Bellman-Ford;30;435;denso;44;3;11,136417
Bellman-Ford;30;435;denso;44;4;10,750217
Bellman-Ford;30;435;denso;44;5;10,896190
Bellman-Ford;30;435;denso;44;6;10,968690
Bellman-Ford;30;435;denso;44;7;11,062414
Bellman-Ford;30;435;denso;44;8;10,756159
Bellman-Ford;30;435;denso;44;9;11,150426
Bellman-Ford;30;435;denso;44;10;11,007711
Bellman-Ford;30;435;denso;44;11;10,607901
Bellman-Ford;30;435;denso;44;12;10,026396
Bellman-Ford;30;435;denso;44;13;10,848161
Bellman-Ford;30;435;denso;44;14;11,114108
Bellman-Ford;30;435;denso;44;15;11,680372
Bellman-Ford;30;435;denso;44;16;11,601960
Bellman-Ford;30;435;denso;44;17;11,185387
Bellman-Ford;30;435;denso;44;18;12,557862
Bellman-Ford;30;435;denso;44;19;11,456796
Bellman-Ford;30;435;denso;44;20;11,035907
Bellman-Ford;30;435;denso;44;21;11,775161
Bellman-Ford;30;435;denso;44;22;12,007519
Bellman-Ford;30;435;denso;44;23;11,491223
Bellman-Ford;30;435;denso;44;24;10,968207
Bellman-Ford;30;435;denso;44;25;10,780713
Bellman-Ford;30;435;denso;44;26;10,670290
Bellman-Ford;30;435;denso;44;27;11,302014
Bellman-Ford;30;435;denso;44;28;10,751581
Bellman-Ford;30;435;denso;44;29;10,738690
Bellman-Ford;30;435;denso;44;30;11,271864
Dijkstra;30;435;denso;44;1;3,205462
Dijkstra;30;435;denso;44;2;3,843739
Dijkstra;30;435;denso;44;3;2,956861
Dijkstra;30;435;denso;44;4;3,198751
Dijkstra;30;435;denso;44;5;3,337435
Dijkstra;30;435;denso;44;6;3,347227
Dijkstra;30;435;denso;44;7;3,603694
Dijkstra;30;435;denso;44;8;3,332035
Dijkstra;30;435;denso;44;9;3,869545
Dijkstra;30;435;denso;44;10;3,091384
Dijkstra;30;435;denso;44;11;3,981462
Dijkstra;30;435;denso;44;12;3,174096
Dijkstra;30;435;denso;44;13;3,702315
Dijkstra;30;435;denso;44;14;3,227666
Dijkstra;30;435;denso;44;15;3,121861
Dijkstra;30;435;denso;44;16;3,595160
Dijkstra;30;435;denso;44;17;3,232369
Dijkstra;30;435;denso;44;18;3,509489
Dijkstra;30;435;denso;44;19;3,233991
Dijkstra;30;435;denso;44;20;3,092791
Dijkstra;30;435;denso;44;21;3,452537
Dijkstra;30;435;denso;44;22;3,337759
Dijkstra;30;435;denso;44;23;3,935921
Dijkstra;30;435;denso;44;24;3,199596
Dijkstra;30;435;denso;44;25;3,189587
Dijkstra;30;435;denso;44;26;3,096754
Dijkstra;30;435;denso;44;27;3,060139
Dijkstra;30;435;denso;44;28;3,647754
Dijkstra;30;435;denso;44;29;3,126253
Dijkstra;30;435;denso;44;30;3,568887
Floyd-Warshall;30;435;denso;44;1;4,294088
Floyd-Warshall;30;435;denso;44;2;5,140860
Floyd-Warshall;30;435;denso;44;3;4,178181
Floyd-Warshall;30;435;denso;44;4;4,630206
Floyd-Warshall;30;435;denso;44;5;4,548372
Floyd-Warshall;30;435;denso;44;6;5,303169
Floyd-Warshall;30;435;denso;44;7;4,675369
Floyd-Warshall;30;435;denso;44;8;5,046606
Floyd-Warshall;30;435;denso;44;9;4,513761
Floyd-Warshall;30;435;denso;44;10;4,898507
Floyd-Warshall;30;435;denso;44;11;4,933419
Floyd-Warshall;30;435;denso;44;12;4,651411
Floyd-Warshall;30;435;denso;44;13;4,295491
Floyd-Warshall;30;435;denso;44;14;4,794074
Floyd-Warshall;30;435;denso;44;15;4,378039
Floyd-Warshall;30;435;denso;44;16;4,382314
Floyd-Warshall;30;435;denso;44;17;4,307634
Floyd-Warshall;30;435;denso;44;18;4,579011
Floyd-Warshall;30;435;denso;44;19;4,199284
Floyd-Warshall;30;435;denso;44;20;4,203395
Floyd-Warshall;30;435;denso;44;21;4,541262
Floyd-Warshall;30;435;denso;44;22;4,140773
Floyd-Warshall;30;435;denso;44;23;4,284216
Floyd-Warshall;30;435;denso;44;24;4,401552
Floyd-Warshall;30;435;denso;44;25;5,102609
Floyd-Warshall;30;435;denso;44;26;4,436494
Floyd-Warshall;30;435;denso;44;27;4,946526
Floyd-Warshall;30;435;denso;44;28;4,060513
Floyd-Warshall;30;435;denso;44;29;4,783571
Floyd-Warshall;30;435;denso;44;30;4,465017
Johnson;30;435;denso;44;1;3,419556
Johnson;30;435;denso;44;2;3,856591
Johnson;30;435;denso;44;3;3,687364
Johnson;30;435;denso;44;4;4,276915
Johnson;30;435;denso;44;5;3,486677
Johnson;30;435;denso;44;6;3,354729
Johnson;30;435;denso;44;7;3,792348
Johnson;30;435;denso;44;8;3,341682
Johnson;30;435;denso;44;9;3,567780
Johnson;30;435;denso;44;10;3,343263
Johnson;30;435;denso;44;11;3,540606
Johnson;30;435;denso;44;12;3,195004
Johnson;30;435;denso;44;13;3,335793
Johnson;30;435;denso;44;14;3,254920
Johnson;30;435;denso;44;15;3,271672
Johnson;30;435;denso;44;16;3,401049
Johnson;30;435;denso;44;17;3,211294
Johnson;30;435;denso;44;18;3,311089
Johnson;30;435;denso;44;19;3,257083
Johnson;30;435;denso;44;20;3,134534
Johnson;30;435;denso;44;21;4,608900
Johnson;30;435;denso;44;22;3,684317
