algoritmo;vertices;arestas;densidade;semente;repeticao;tempo_ms
Bellman-Ford;60;708;intermediario;46;2;36,720670
Bellman-Ford;60;708;intermediario;46;3;37,653158
Bellman-Ford;60;708;intermediario;46;4;36,296735
Bellman-Ford;60;708;intermediario;46;5;36,811232
Bellman-Ford;60;708;intermediario;46;6;36,428753
Bellman-Ford;60;708;intermediario;46;7;36,895754
Bellman-Ford;60;708;intermediario;46;8;36,446596
Bellman-Ford;60;708;intermediario;46;9;37,003761
Bellman-Ford;60;708;intermediario;46;10;36,993001
Bellman-Ford;60;708;intermediario;46;11;36,810333
Bellman-Ford;60;708;intermediario;46;12;37,138609
Bellman-Ford;60;708;intermediario;46;13;36,370555
Bellman-Ford;60;708;intermediario;46;14;36,268772
Bellman-Ford;60;708;intermediario;46;15;36,101348
Bellman-Ford;60;708;intermediario;46;16;37,004203
Bellman-Ford;60;708;intermediario;46;17;35,994627
Bellman-Ford;60;708;intermediario;46;18;36,743302
Bellman-Ford;60;708;intermediario;46;19;35,837709
Bellman-Ford;60;708;intermediario;46;20;36,444620
Bellman-Ford;60;708;intermediario;46;21;36,434508
Bellman-Ford;60;708;intermediario;46;22;36,605316
Bellman-Ford;60;708;intermediario;46;23;37,754187
Bellman-Ford;60;708;intermediario;46;24;36,738638
Bellman-Ford;60;708;intermediario;46;25;35,909951
Bellman-Ford;60;708;intermediario;46;26;36,262968
Bellman-Ford;60;708;intermediario;46;27;36,584200
Bellman-Ford;60;708;intermediario;46;28;37,437221
Bellman-Ford;60;708;intermediario;46;29;36,537624
Bellman-Ford;60;708;intermediario;46;30;35,149405
Bellman-Ford;60;1770;denso;47;1;78,439706
Bellman-Ford;60;1770;denso;47;2;76,270057
Bellman-Ford;60;1770;denso;47;3;79,486676
Bellman-Ford;60;1770;denso;47;4;77,999928
Bellman-Ford;60;1770;denso;47;5;79,260758
Bellman-Ford;60;1770;denso;47;6;78,901265
Bellman-Ford;60;1770;denso;47;7;78,104171
Bellman-Ford;60;1770;denso;47;8;78,309994
Bellman-Ford;60;1770;denso;47;9;78,728091
Bellman-Ford;60;1770;denso;47;10;78,573786
Bellman-Ford;60;1770;denso;47;11;78,041054
Bellman-Ford;60;1770;denso;47;12;75,635260
Bellman-Ford;60;1770;denso;47;13;76,964974
Bellman-Ford;60;1770;denso;47;14;75,571499
Bellman-Ford;60;1770;denso;47;15;77,741871
Bellman-Ford;60;1770;denso;47;16;76,748219
Bellman-Ford;60;1770;denso;47;17;78,162443
Bellman-Ford;60;1770;denso;47;18;77,961209
Bellman-Ford;60;1770;denso;47;19;76,853399
Bellman-Ford;60;1770;denso;47;20;76,639643
Bellman-Ford;60;1770;denso;47;21;77,910980
Bellman-Ford;60;1770;denso;47;22;77,599951
Bellman-Ford;60;1770;denso;47;23;78,190517
Bellman-Ford;60;1770;denso;47;24;78,443658
Bellman-Ford;60;1770;denso;47;25;77,658389
Bellman-Ford;60;1770;denso;47;26;75,285717
Bellman-Ford;60;1770;denso;47;27;80,621372
Bellman-Ford;60;1770;denso;47;28;77,324688
Bellman-Ford;60;1770;denso;47;29;78,588297
Bellman-Ford;60;1770;denso;47;30;80,761117
Bellman-Ford;100;200;esparso;48;1;27,405703
Bellman-Ford;100;200;esparso;48;2;27,614805
Bellman-Ford;100;200;esparso;48;3;27,852389
Bellman-Ford;100;200;esparso;48;4;27,645455
Bellman-Ford;100;200;esparso;48;5;27,664976
Bellman-Ford;100;200;esparso;48;6;26,596800
Bellman-Ford;100;200;esparso;48;7;26,257047
Bellman-Ford;100;200;esparso;48;8;26,227780
Bellman-Ford;100;200;esparso;48;9;26,223721
Bellman-Ford;100;200;esparso;48;10;27,295870
Bellman-Ford;100;200;esparso;48;11;26,616913
Bellman-Ford;100;200;esparso;48;12;27,658997
Bellman-Ford;100;200;esparso;48;13;28,284229
Bellman-Ford;100;200;esparso;48;14;27,040756
Bellman-Ford;100;200;esparso;48;15;26,413393
Bellman-Ford;100;200;esparso;48;16;27,221244
Bellman-Ford;100;200;esparso;48;17;26,708196
Bellman-Ford;100;200;esparso;48;18;26,875734
Bellman-Ford;100;200;esparso;48;19;26,633069
Bellman-Ford;100;200;esparso;48;20;26,967155
Bellman-Ford;100;200;esparso;48;21;26,563385
Bellman-Ford;100;200;esparso;48;22;27,267395
Bellman-Ford;100;200;esparso;48;23;26,730593
Bellman-Ford;100;200;esparso;48;24;27,049818
Bellman-Ford;100;200;esparso;48;25;27,121283
Bellman-Ford;100;200;esparso;48;26;27,286399
Bellman-Ford;100;200;esparso;48;27;25,939648
Bellman-Ford;100;200;esparso;48;28;27,767176
Bellman-Ford;100;200;esparso;48;29;29,100066
Bellman-Ford;100;200;esparso;48;30;28,101987
Bellman-Ford;100;1980;intermediario;49;1;170,092665
Bellman-Ford;100;1980;intermediario;49;2;173,309203
Bellman-Ford;100;1980;intermediario;49;3;173,383023
Bellman-Ford;100;1980;intermediario;49;4;170,173783
Bellman-Ford;100;1980;intermediario;49;5;171,930773
Bellman-Ford;100;1980;intermediario;49;6;169,831097
Bellman-Ford;100;1980;intermediario;49;7;172,014513
Bellman-Ford;100;1980;intermediario;49;8;173,046682
Bellman-Ford;100;1980;intermediario;49;9;168,218430
Bellman-Ford;100;1980;intermediario;49;10;169,518664
Bellman-Ford;100;1980;intermediario;49;11;170,906073
Bellman-Ford;100;1980;intermediario;49;12;168,503517
Bellman-Ford;100;1980;intermediario;49;13;168,340743
Bellman-Ford;100;1980;intermediario;49;14;169,982877
Bellman-Ford;100;1980;intermediario;49;15;167,432451
Bellman-Ford;100;1980;intermediario;49;16;172,084643
Bellman-Ford;100;1980;intermediario;49;17;168,528732
Bellman-Ford;100;1980;intermediario;49;18;168,468474
Bellman-Ford;100;1980;intermediario;49;19;172,380813
Bellman-Ford;100;1980;intermediario;49;20;171,292075
Bellman-Ford;100;1980;intermediario;49;21;171,832791
Bellman-Ford;100;1980;intermediario;49;22;173,275580
Bellman-Ford;100;1980;intermediario;49;23;172,944916
Bellman-Ford;100;1980;intermediario;49;24;173,179807
Bellman-Ford;100;1980;intermediario;49;25;173,893492
Bellman-Ford;100;1980;intermediario;49;26;171,920931
Bellman-Ford;100;1980;intermediario;49;27;167,306660
Bellman-Ford;100;1980;intermediario;49;28;172,021238
Bellman-Ford;100;1980;intermediario;49;29;168,711034
Bellman-Ford;100;1980;intermediario;49;30;170,378816
Bellman-Ford;100;4950;denso;50;1;353,601429
Bellman-Ford;100;4950;denso;50;2;362,332762
Bellman-Ford;100;4950;denso;50;3;362,558923
Bellman-Ford;100;4950;denso;50;4;365,199287
Bellman-Ford;100;4950;denso;50;5;363,987038
Bellman-Ford;100;4950;denso;50;6;361,334126
Bellman-Ford;100;4950;denso;50;7;362,032684
Bellman-Ford;100;4950;denso;50;8;365,402228
Bellman-Ford;100;4950;denso;50;9;359,582230
Bellman-Ford;100;4950;denso;50;10;363,765048
Bellman-Ford;100;4950;denso;50;11;358,319820
Bellman-Ford;100;4950;denso;50;12;362,205310
Bellman-Ford;100;4950;denso;50;13;365,968610
Bellman-Ford;100;4950;denso;50;14;361,408177
Bellman-Ford;100;4950;denso;50;15;363,962908
Bellman-Ford;100;4950;denso;50;16;367,456608
Bellman-Ford;100;4950;denso;50;17;362,005068
Bellman-Ford;100;4950;denso;50;18;362,067984
Bellman-Ford;100;4950;denso;50;19;361,493430
Bellman-Ford;100;4950;denso;50;20;363,662426
Bellman-Ford;100;4950;denso;50;21;364,291100
Bellman-Ford;100;4950;denso;50;22;365,259195
Bellman-Ford;100;4950;denso;50;23;358,433668
Bellman-Ford;100;4950;denso;50;24;360,910950
Bellman-Ford;100;4950;denso;50;25;361,344526
Bellman-Ford;100;4950;denso;50;26;365,231932
Bellman-Ford;100;4950;denso;50;27;360,325418
Bellman-Ford;100;4950;denso;50;28;361,674222
Bellman-Ford;100;4950;denso;50;29;365,069607
Bellman-Ford;100;4950;denso;50;30;365,689017
Bellman-Ford;150;300;esparso;51;1;61,756701
Bellman-Ford;150;300;esparso;51;2;61,006496
Bellman-Ford;150;300;esparso;51;3;63,312347
Bellman-Ford;150;300;esparso;51;4;60,061374
Bellman-Ford;150;300;esparso;51;5;61,710691
Bellman-Ford;150;300;esparso;51;6;61,506859
Bellman-Ford;150;300;esparso;51;7;62,277568
Bellman-Ford;150;300;esparso;51;8;61,272706
Bellman-Ford;150;300;esparso;51;9;62,075525
Bellman-Ford;150;300;esparso;51;10;61,757906
Bellman-Ford;150;300;esparso;51;11;63,318700
Bellman-Ford;150;300;esparso;51;12;61,305662
Bellman-Ford;150;300;esparso;51;13;62,308514
Bellman-Ford;150;300;esparso;51;14;61,535028
Bellman-Ford;150;300;esparso;51;15;63,147729
Bellman-Ford;150;300;esparso;51;16;62,612050
Bellman-Ford;150;300;esparso;51;17;62,826670
Bellman-Ford;150;300;esparso;51;18;61,930618
Bellman-Ford;150;300;esparso;51;19;63,323426
Bellman-Ford;150;300;esparso;51;20;62,942914
Bellman-Ford;150;300;esparso;51;21;61,300529
Bellman-Ford;150;300;esparso;51;22;60,623506
Bellman-Ford;150;300;esparso;51;23;61,741163
Bellman-Ford;150;300;esparso;51;24;61,397652
Bellman-Ford;150;300;esparso;51;25;63,661023
Bellman-Ford;150;300;esparso;51;26;61,497781
Bellman-Ford;150;300;esparso;51;27;62,420775
Bellman-Ford;150;300;esparso;51;28;60,517294
Bellman-Ford;150;300;esparso;51;29;63,687011
Bellman-Ford;150;300;esparso;51;30;63,840718
Bellman-Ford;150;4470;intermediario;52;1;711,019811
Bellman-Ford;150;4470;intermediario;52;2;698,637486
Bellman-Ford;150;4470;intermediario;52;3;637,850222
Bellman-Ford;150;4470;intermediario;52;4;631,743067
Bellman-Ford;150;4470;intermediario;52;5;627,082115
Bellman-Ford;150;4470;intermediario;52;6;634,342871
Bellman-Ford;150;4470;intermediario;52;7;616,829644
Bellman-Ford;150;4470;intermediario;52;8;631,208226
Bellman-Ford;150;4470;intermediario;52;9;619,920191
Bellman-Ford;150;4470;intermediario;52;10;627,050849
Bellman-Ford;150;4470;intermediario;52;11;629,614985
Bellman-Ford;150;4470;intermediario;52;12;631,824632
Bellman-Ford;150;4470;intermediario;52;13;624,270601
Bellman-Ford;150;4470;intermediario;52;14;625,670280
Bellman-Ford;150;4470;intermediario;52;15;625,789319
Bellman-Ford;150;4470;intermediario;52;16;626,083637
Bellman-Ford;150;4470;intermediario;52;17;627,952006
Bellman-Ford;150;4470;intermediario;52;18;630,182385
Bellman-Ford;150;4470;intermediario;52;19;626,239838
Bellman-Ford;150;4470;intermediario;52;20;645,212566
Bellman-Ford;150;4470;intermediario;52;21;631,655569
Bellman-Ford;150;4470;intermediario;52;22;637,939057
Bellman-Ford;150;4470;intermediario;52;23;613,799188
Bellman-Ford;150;4470;intermediario;52;24;626,174473
