algoritmo;vertices;arestas;densidade;semente;repeticao;tempo_ms
Dijkstra;60;708;intermediario;46;12;10,424849
Dijkstra;60;708;intermediario;46;13;10,472937
Dijkstra;60;708;intermediario;46;14;11,277915
Dijkstra;60;708;intermediario;46;15;10,712604
Dijkstra;60;708;intermediario;46;16;10,864002
Dijkstra;60;708;intermediario;46;17;10,531504
Dijkstra;60;708;intermediario;46;18;10,487803
Dijkstra;60;708;intermediario;46;19;10,478151
Dijkstra;60;708;intermediario;46;20;10,227403
Dijkstra;60;708;intermediario;46;21;10,522402
Dijkstra;60;708;intermediario;46;22;10,584040
Dijkstra;60;708;intermediario;46;23;10,351238
Dijkstra;60;708;intermediario;46;24;10,373520
Dijkstra;60;708;intermediario;46;25;9,931252
Dijkstra;60;708;intermediario;46;26;9,808840
Dijkstra;60;708;intermediario;46;27;10,483098
Dijkstra;60;708;intermediario;46;28;10,521720
Dijkstra;60;708;intermediario;46;29;10,468707
Dijkstra;60;708;intermediario;46;30;10,416007
Dijkstra;60;1770;denso;47;1;17,218218
Dijkstra;60;1770;denso;47;2;17,684854
Dijkstra;60;1770;denso;47;3;17,551688
Dijkstra;60;1770;denso;47;4;17,331343
Dijkstra;60;1770;denso;47;5;16,865427
Dijkstra;60;1770;denso;47;6;18,095434
Dijkstra;60;1770;denso;47;7;17,453187
Dijkstra;60;1770;denso;47;8;17,134536
Dijkstra;60;1770;denso;47;9;17,392825
Dijkstra;60;1770;denso;47;10;17,062092
Dijkstra;60;1770;denso;47;11;17,584874
Dijkstra;60;1770;denso;47;12;16,538236
Dijkstra;60;1770;denso;47;13;16,538103
Dijkstra;60;1770;denso;47;14;17,376051
Dijkstra;60;1770;denso;47;15;17,650732
Dijkstra;60;1770;denso;47;16;17,560886
Dijkstra;60;1770;denso;47;17;16,625539
Dijkstra;60;1770;denso;47;18;17,082217
Dijkstra;60;1770;denso;47;19;17,348308
Dijkstra;60;1770;denso;47;20;17,425634
Dijkstra;60;1770;denso;47;21;18,922534
Dijkstra;60;1770;denso;47;22;17,566574
Dijkstra;60;1770;denso;47;23;17,756638
Dijkstra;60;1770;denso;47;24;17,264457
Dijkstra;60;1770;denso;47;25;17,309088
Dijkstra;60;1770;denso;47;26;17,316896
Dijkstra;60;1770;denso;47;27;17,331994
Dijkstra;60;1770;denso;47;28;17,112118
Dijkstra;60;1770;denso;47;29;16,781028
Dijkstra;60;1770;denso;47;30;17,366581
Dijkstra;100;200;esparso;48;1;12,154978
Dijkstra;100;200;esparso;48;2;11,183677
Dijkstra;100;200;esparso;48;3;11,600662
Dijkstra;100;200;esparso;48;4;11,634208
Dijkstra;100;200;esparso;48;5;12,153850
Dijkstra;100;200;esparso;48;6;11,939390
Dijkstra;100;200;esparso;48;7;11,635004
Dijkstra;100;200;esparso;48;8;11,930297
Dijkstra;100;200;esparso;48;9;11,343801
Dijkstra;100;200;esparso;48;10;11,331991
Dijkstra;100;200;esparso;48;11;11,543106
Dijkstra;100;200;esparso;48;12;12,096957
Dijkstra;100;200;esparso;48;13;11,715538
Dijkstra;100;200;esparso;48;14;12,105344
Dijkstra;100;200;esparso;48;15;12,021091
Dijkstra;100;200;esparso;48;16;12,138977
Dijkstra;100;200;esparso;48;17;11,814950
Dijkstra;100;200;esparso;48;18;12,369873
Dijkstra;100;200;esparso;48;19;12,392428
Dijkstra;100;200;esparso;48;20;12,459669
Dijkstra;100;200;esparso;48;21;12,000472
Dijkstra;100;200;esparso;48;22;12,278004
Dijkstra;100;200;esparso;48;23;11,535581
Dijkstra;100;200;esparso;48;24;11,441860
Dijkstra;100;200;esparso;48;25;12,118915
Dijkstra;100;200;esparso;48;26;11,689792
Dijkstra;100;200;esparso;48;27;11,997724
Dijkstra;100;200;esparso;48;28;13,549021
Dijkstra;100;200;esparso;48;29;12,041682
Dijkstra;100;200;esparso;48;30;12,184676
Dijkstra;100;1980;intermediario;49;1;39,725980
Dijkstra;100;1980;intermediario;49;2;40,870555
Dijkstra;100;1980;intermediario;49;3;40,726870
Dijkstra;100;1980;intermediario;49;4;39,724334
